AT,AP,AH,AFDP,GTEP,TIT,TAT,CDP,TEY,CO,NOX
22.596,1010.3,83.635,3.2453,19.631,1050.0,549.95,10.462,109.12,3.9598,44.862
19.351,1012.6,67.896,3.6687,27.156,1093.2,550.01,12.575,141.71,2.6871,59.646
17.274,1008.6,71.581,3.3955,19.492,1055.4,550.18,10.457,109.97,4.9369,66.705
21.036,1015.5,75.572,3.816,24.516,1080.3,549.61,11.973,131.13,1.5975,53.904
23.174,1014.3,70.787,3.164,19.942,1058.6,550.04,10.669,110.75,3.0367,56.436
21.291,1011.9,52.06,3.6805,30.169,1093.9,549.84,12.666,140.81,2.0972,62.909
8.1932,1017.1,95.615,3.4577,24.404,1076.0,549.67,11.826,133.64,1.7371,72.955
17.209,1009.9,72.379,3.5341,24.397,1086.9,549.71,11.935,133.78,1.2167,69.251
14.484,1006.7,78.501,4.5791,34.508,1100.1,531.18,14.134,159.98,0.21452,49.429
10.283,1024.6,89.087,4.0729,19.844,1048.2,543.33,10.598,111.59,5.8828,98.902
25.994,1012.5,68.028,4.0013,25.636,1091.7,549.87,12.091,134.33,1.8984,67.919
28.216,1007.2,36.618,3.2601,22.401,1064.6,550.02,11.1,118.65,2.8501,52.806
5.689,1019.0,79.436,3.1795,22.867,1072.8,549.89,11.573,130.28,3.6233,65.964
21.656,1011.2,73.03,3.4372,24.41,1078.0,549.82,11.827,129.52,1.6421,43.752
22.37,1013.7,72.211,4.4345,31.152,1099.9,534.93,13.576,154.02,1.0583,58.436
18.031,1007.7,75.524,3.195,22.272,1065.6,549.88,11.267,122.09,3.1067,54.447
25.024,1013.6,63.681,4.7332,29.233,1099.7,541.15,13.073,147.46,1.4956,72.733
13.17,1020.1,89.607,4.3358,32.938,1099.9,537.73,13.792,159.29,0.11124,81.526
15.362,1006.1,88.334,2.6466,19.332,1054.1,550.02,10.426,109.53,5.1844,65.091
13.594,1006.1,92.973,3.4903,25.039,1076.7,549.95,11.919,133.33,1.234,59.921
13.368,1005.3,100.05,4.269,25.338,1078.3,550.0,12.018,134.55,1.2897,59.539
30.014,1003.5,61.41,4.0867,25.452,1079.5,549.96,11.894,127.73,0.75634,43.831
20.799,1013.1,61.898,3.9653,19.524,1054.7,549.99,10.41,108.67,4.0702,68.382
17.88,1007.9,86.172,3.744,25.301,1081.3,549.9,12.062,134.22,1.5103,62.449
15.548,1002.7,84.907,2.6238,19.082,1053.5,550.05,10.35,109.15,5.5188,73.907
9.0126,1024.8,64.694,4.536,32.408,1100.1,532.78,13.991,161.59,2.399,49.869
15.169,1008.6,65.032,3.1834,24.462,1086.3,549.88,11.909,133.93,1.3237,76.469
12.767,1001.2,86.421,3.5662,25.106,1076.0,550.02,11.873,133.52,1.3386,62.506
18.053,1003.1,70.429,3.8992,25.433,1081.8,549.93,12.015,135.09,1.6677,69.397
28.523,1007.1,60.159,4.1287,28.904,1098.6,548.48,12.92,143.34,1.938,55.783
17.093,1007.3,95.55,3.9041,25.288,1080.4,550.04,11.988,133.89,2.0203,59.614
23.241,1018.2,76.335,4.2176,23.051,1068.3,550.04,11.411,121.04,1.9361,53.539
10.048,1021.1,82.169,2.615,18.045,1020.1,534.42,10.281,101.39,14.499,115.78
6.1227,1015.9,95.067,2.9898,23.753,1083.7,550.08,11.82,134.53,3.3086,85.274
22.11,1013.9,61.847,2.9091,20.103,1052.3,550.1,10.596,110.86,4.4989,52.098
28.383,1010.0,66.999,4.3388,27.601,1088.5,547.87,12.436,137.17,1.6975,53.205
26.032,1010.6,69.623,5.4452,31.271,1099.9,542.06,13.401,149.51,1.7909,55.22
22.35,1021.9,66.347,4.453,24.607,1078.2,549.84,11.902,127.94,1.7986,54.145
21.716,1007.9,86.566,3.9417,25.21,1088.4,549.91,11.917,132.87,4.8278,58.501
24.258,1011.0,86.397,5.2531,25.803,1091.5,549.7,12.195,133.98,2.4526,74.449
24.193,1004.7,91.535,4.0211,24.779,1076.2,550.0,11.734,127.31,2.0488,48.522
23.851,1014.7,91.991,3.1937,20.316,1060.9,550.01,10.615,111.64,1.9207,52.226
30.242,1015.9,54.672,4.349,29.611,1100.0,545.94,13.147,146.93,1.3685,52.279
5.6936,1023.9,90.38,3.7258,23.46,1084.6,549.76,11.933,133.67,0.56359,81.623
33.23,1005.0,47.165,4.3705,29.583,1099.9,547.19,13.066,145.8,1.5325,53.618
17.868,1019.5,93.38,3.2461,25.524,1089.7,550.1,12.099,134.89,1.3318,74.4
22.417,1012.1,55.282,3.7282,27.553,1095.0,550.39,12.67,142.29,2.1137,59.709
24.121,1009.0,83.902,3.9389,24.755,1077.1,550.42,11.727,127.85,1.8866,50.682
16.986,1008.9,98.413,3.9354,21.854,1060.7,550.11,11.021,117.86,3.3005,58.157
9.1769,1018.0,49.353,3.16,28.343,1073.3,550.19,11.551,129.55,3.5721,72.599
10.869,1017.9,91.459,2.7154,19.124,1025.2,538.43,10.194,105.31,9.9632,90.981
29.392,1005.0,67.527,4.0959,24.329,1072.9,549.77,11.608,122.44,1.3808,46.964
24.172,1011.9,59.919,3.9114,27.904,1096.7,550.09,12.722,141.93,1.7202,55.545
18.709,1017.1,86.742,4.2193,19.596,1055.9,549.93,10.451,109.73,3.8746,66.188
29.547,1007.6,64.706,4.3481,25.948,1092.7,550.41,12.141,133.01,1.7254,60.679
8.4778,1015.7,90.604,2.9606,18.864,1056.4,549.97,10.467,111.41,3.9719,91.053
13.095,1019.1,93.426,3.8856,23.59,1079.4,546.86,11.765,131.43,7.1665,76.671
19.07,1005.4,71.687,4.6307,24.931,1088.2,549.9,11.885,134.33,1.5706,72.203
20.398,1010.9,95.131,3.5816,20.228,1051.8,550.31,10.507,110.35,4.4915,53.758
26.658,1009.0,75.29,3.9423,25.571,1091.2,550.42,12.155,133.73,0.38236,63.258
12.799,1015.7,63.125,3.1666,25.521,1074.4,549.87,11.595,129.55,3.3127,68.836
26.52,1008.5,78.387,4.1442,25.664,1081.3,549.73,11.913,129.79,1.5856,53.707
18.705,1014.3,64.826,4.7005,25.075,1089.6,549.8,12.141,134.07,1.2301,74.588
17.245,1012.0,89.356,4.6179,31.455,1099.8,540.23,13.516,154.82,0.66876,58.19
22.801,1012.7,80.847,4.1263,27.348,1092.5,549.93,12.533,140.09,1.3059,57.723
4.7199,1016.0,85.487,3.1142,24.435,1073.1,549.77,11.599,130.69,3.1475,75.0
8.6161,1020.0,89.917,2.2363,19.218,1048.4,544.01,10.494,111.83,6.8206,80.636
13.241,1022.4,87.196,3.9201,23.133,1080.1,549.97,11.633,128.8,1.7153,74.91
29.149,1005.5,68.271,4.1996,25.369,1079.3,550.02,11.855,127.89,1.8652,53.009
11.612,1010.2,79.473,5.9828,32.362,1099.9,531.8,13.822,158.73,0.59456,68.914
6.4941,1017.9,64.814,5.4988,33.915,1100.0,524.37,14.322,166.46,2.0002,60.38
20.841,1013.7,66.839,3.9389,27.939,1096.6,549.71,12.736,143.11,1.5099,52.943
6.4302,1025.5,87.742,3.3099,24.054,1080.8,549.91,11.889,135.89,2.5682,65.911
19.831,1015.5,89.831,3.152,19.697,1058.8,549.85,10.484,111.73,2.4224,55.929
27.947,1010.4,64.255,4.1499,26.153,1092.5,549.9,12.197,133.84,0.79739,65.165
26.491,1013.3,60.617,3.2872,20.405,1051.4,550.46,10.494,108.63,3.4081,42.49
25.031,1009.2,82.003,3.7599,24.533,1075.2,549.96,11.623,126.58,1.7881,48.515
20.555,1008.4,89.617,4.1668,25.367,1089.4,550.16,12.018,134.35,1.7106,62.954
30.296,1008.6,53.127,3.9846,25.877,1092.6,549.62,12.21,133.76,0.39436,62.95
21.682,1016.6,69.342,4.5261,24.725,1078.8,549.98,11.819,128.61,1.722,56.654
24.698,1011.3,60.548,4.0682,25.484,1090.3,549.85,12.082,133.8,1.6203,71.069
21.023,1008.0,88.153,4.0351,24.205,1082.8,550.12,11.737,129.47,1.9228,61.467
16.823,1003.4,99.753,4.2161,25.242,1080.1,550.05,11.989,134.05,1.7166,62.207
28.606,1013.5,35.645,3.7146,24.16,1076.7,550.41,11.691,125.62,2.4619,61.234
9.5041,1007.2,95.371,3.6047,28.739,1092.1,538.64,12.962,148.65,0.88366,72.287
18.232,1008.2,99.703,4.206,26.432,1087.6,549.9,12.178,138.48,1.2756,58.163
9.7295,1021.9,91.458,3.1717,24.078,1083.5,549.9,11.72,132.61,1.2884,66.709
20.194,1008.4,59.032,3.7373,27.242,1094.0,550.42,12.6,142.41,1.8775,60.197
23.228,1014.0,62.299,4.1641,23.986,1081.8,549.92,11.718,126.84,2.122,65.968
26.345,1013.0,68.067,4.2583,26.214,1094.3,550.0,12.18,134.62,1.5771,75.258
19.457,1014.9,76.592,3.3152,23.554,1069.1,547.48,11.582,125.31,3.9252,59.181
30.76,1007.7,64.211,4.36,26.328,1094.1,549.72,12.212,134.05,1.8977,62.588
19.197,1016.9,88.077,3.4144,19.43,1056.4,550.18,10.466,109.68,5.5991,59.475
13.727,1003.2,94.758,2.5683,18.972,1049.0,548.27,10.335,107.52,7.7597,88.404
28.288,1013.5,67.437,5.1923,29.638,1099.5,547.23,13.053,145.17,1.2815,55.701
22.454,1008.2,59.356,3.3557,20.083,1058.7,550.19,10.604,110.58,3.1035,58.704
17.542,995.67,59.628,3.2987,24.362,1077.1,549.91,11.81,131.34,3.4994,61.826
22.865,1011.6,89.601,4.0135,25.208,1089.8,549.97,12.044,132.66,1.3296,58.107
28.549,1006.4,76.377,4.978,29.767,1099.1,547.72,12.994,144.27,1.9627,53.863
10.868,1009.0,100.16,2.9737,24.273,1085.6,549.94,11.801,134.52,1.6477,73.333
21.964,1009.3,94.425,4.1945,20.029,1058.4,550.01,10.574,110.27,4.9566,52.847
15.723,995.55,76.417,3.6652,25.907,1079.7,549.97,11.992,135.29,1.1163,64.004
13.5,1013.2,90.936,3.5643,24.07,1085.2,550.09,11.83,133.36,1.3629,68.558
20.118,1015.2,77.041,4.5391,24.903,1079.6,549.99,11.964,129.96,1.998,57.107
5.5766,1029.7,74.143,2.9815,23.452,1083.8,550.01,11.837,134.23,2.7483,89.478
22.026,1007.9,88.001,3.7619,25.141,1088.9,550.01,12.058,133.81,0.34071,59.469
26.421,1011.2,68.034,4.7522,26.782,1089.0,549.91,12.271,134.72,2.1113,61.085
20.103,1010.1,87.823,3.6196,25.088,1088.1,550.37,12.054,132.81,1.5752,63.889
13.277,1011.2,92.082,2.8111,17.99,1029.3,542.78,10.014,101.32,11.408,83.549
9.9542,1007.5,92.605,3.8526,33.268,1099.8,527.45,14.021,163.51,0.84651,68.096
13.208,1018.1,82.978,4.7682,32.127,1100.4,530.93,13.922,158.39,0.35207,66.333
23.314,1001.6,71.305,3.8126,25.636,1090.4,550.1,12.021,134.11,1.2297,70.149
26.525,1012.0,61.802,3.9528,26.141,1093.6,549.98,12.214,133.75,0.61362,67.56
5.0682,1021.6,90.776,3.1988,22.424,1063.6,550.13,11.25,124.21,1.857,64.582
7.5722,1017.3,88.423,3.4507,24.406,1076.0,549.94,11.845,134.46,0.80195,60.05
14.865,1007.9,86.807,2.9116,18.971,1054.5,550.03,10.436,110.76,3.6626,73.554
24.541,1004.7,85.52,4.0354,24.889,1077.1,549.97,11.716,127.98,1.7873,48.419
24.97,1008.8,80.04,5.4501,30.599,1099.8,544.45,13.209,147.85,1.8494,55.152
15.214,1023.5,84.295,3.2818,24.143,1085.4,549.93,11.9,131.85,2.3763,67.325
26.206,1010.6,53.458,4.4752,26.09,1092.7,550.22,12.186,133.76,1.4991,71.306
9.2571,1020.5,71.658,3.8301,33.045,1099.8,532.42,14.054,161.91,0.78802,56.791
18.447,1008.0,77.295,4.2736,31.226,1100.0,540.98,13.488,153.32,0.93965,52.453
22.161,1016.8,76.087,5.3985,31.485,1099.8,540.69,13.446,151.23,1.1466,54.305
33.333,1014.2,42.282,4.5436,29.76,1100.1,541.09,13.244,146.48,1.4708,60.115
9.594,1008.8,81.592,4.1178,32.538,1100.1,530.36,13.948,161.47,0.20195,72.003
14.488,1003.4,80.674,3.7623,31.503,1099.9,539.86,13.526,155.03,0.62519,59.147
8.7526,1028.3,65.086,4.2245,32.735,1100.0,528.77,14.039,160.73,1.5234,70.216
26.748,1011.2,66.252,4.8414,31.707,1096.5,539.22,13.399,147.52,1.819,52.971
17.302,1016.9,76.38,3.2928,24.308,1079.0,550.01,11.888,131.54,1.9055,48.725
15.844,1020.0,92.752,3.21,24.831,1086.8,549.97,11.971,132.65,1.1223,59.669
18.744,1011.5,90.653,3.1585,19.932,1060.1,549.8,10.714,112.77,2.7547,58.171
33.19,1007.5,43.443,4.6012,29.647,1099.9,546.94,13.062,146.86,1.6753,56.48
11.038,1020.5,100.16,5.2608,24.152,1085.9,550.06,11.989,133.81,2.0528,76.028
13.357,1018.2,69.608,3.8519,19.498,1054.0,548.55,10.543,110.77,3.4687,79.36
11.145,999.83,100.17,5.3024,24.506,1085.0,549.8,11.787,134.48,1.6401,75.007
5.9681,1029.7,86.743,5.4121,33.126,1100.1,524.53,14.282,166.75,0.50624,64.4
20.607,1020.5,63.12,4.2571,27.062,1099.7,546.51,12.801,143.27,1.1483,74.773
3.4836,1028.4,86.579,4.4619,33.929,1100.0,531.4,14.28,168.17,1.81,75.794
27.696,1011.1,61.509,5.2822,30.392,1100.0,544.85,13.205,147.04,1.1633,55.675
9.4378,1020.9,89.614,4.47,33.358,1100.0,534.46,14.046,163.03,2.1451,79.278
7.0234,1019.9,85.269,2.6556,21.281,1062.4,549.96,11.108,122.06,3.6247,75.386
10.571,1024.4,70.294,5.6829,32.574,1100.0,528.08,14.078,160.64,0.65249,63.856
24.563,1010.8,80.172,3.7941,25.587,1091.3,549.7,12.093,134.43,0.3858,58.536
22.643,1011.7,92.186,4.1286,25.149,1089.6,550.13,12.088,133.34,1.8357,57.17
25.964,1011.5,95.185,4.0131,23.996,1071.8,550.3,11.484,122.52,1.796,44.831
10.713,1014.8,100.14,3.6962,19.097,1051.1,546.7,10.465,110.74,4.7521,76.568
21.238,1014.2,85.02,3.8076,24.567,1080.3,550.36,11.948,131.24,1.9428,52.425
27.623,1010.1,61.932,5.2002,30.394,1099.7,545.06,13.236,147.44,1.955,58.097
21.496,1007.8,58.991,3.8545,26.629,1091.7,549.78,12.519,139.64,1.6269,55.847
9.2936,1017.5,79.341,4.6171,33.936,1099.9,533.63,14.06,163.66,1.0973,79.336
23.459,1013.7,80.255,4.0501,25.369,1090.0,550.09,12.117,133.17,1.9038,62.925
14.841,1016.9,91.359,4.273,24.793,1088.6,550.22,12.011,134.67,1.4442,72.147
25.02,1006.9,81.19,4.0412,26.225,1094.0,550.01,12.328,134.94,0.36119,64.31
30.117,1009.1,68.988,4.3165,29.367,1099.8,547.71,13.017,144.4,2.3266,54.663
20.316,1020.1,59.882,3.2073,19.917,1059.8,550.11,10.75,111.67,2.8376,67.548
28.243,1011.0,46.538,4.1015,26.288,1094.6,549.72,12.234,134.51,0.94119,67.898
4.7561,1003.0,93.033,2.9881,20.831,1053.6,550.13,10.808,117.18,1.7333,63.045
15.914,1018.4,87.236,3.6676,24.531,1079.0,550.33,11.858,132.32,1.7222,62.018
27.408,1011.7,52.766,4.4015,25.938,1093.2,550.13,12.184,134.54,1.6386,70.611
13.639,1016.5,83.129,2.8492,18.72,1044.3,543.34,10.33,108.92,6.257,82.03
13.245,1012.7,86.225,3.1338,24.484,1086.4,549.86,11.889,134.34,3.0063,76.315
12.749,1001.2,87.951,2.5453,18.883,1051.7,549.62,10.369,108.89,6.2684,84.052
19.649,1013.4,88.208,3.1463,19.76,1058.8,549.92,10.58,111.73,2.8126,56.582
10.936,1020.7,83.755,3.0887,22.452,1074.3,549.15,11.353,125.26,3.2641,79.993
3.3198,1018.2,80.041,5.3428,33.144,1098.6,525.16,14.132,166.49,0.90711,67.606
19.983,1012.1,71.488,3.746,27.162,1093.5,549.99,12.478,141.81,1.4398,57.139
27.933,1011.0,44.023,4.7819,26.6,1095.6,550.25,12.291,134.33,1.3428,77.453
24.501,1010.8,70.253,3.6965,25.54,1090.2,550.2,12.174,132.92,1.7198,62.012
9.0687,1024.3,77.072,4.541,28.563,1092.1,537.75,13.074,149.39,1.4864,71.382
17.168,994.95,70.659,3.9231,19.698,1054.7,549.99,10.433,110.76,3.4202,68.189
20.483,1009.6,89.953,3.5844,20.843,1062.5,550.04,10.709,114.36,7.125,62.486
13.278,1013.7,79.689,3.1374,22.927,1071.2,550.04,11.399,126.92,2.92,63.558
20.786,1015.6,87.084,4.0703,25.179,1088.7,550.13,11.935,133.36,2.1386,63.425
26.587,1005.0,77.851,4.4638,29.98,1099.8,541.13,13.142,146.55,0.37007,58.136
12.969,1006.6,97.786,3.9671,25.176,1077.9,549.89,11.946,134.51,1.261,58.765
16.371,1015.2,97.548,4.5048,24.735,1079.5,549.91,11.958,131.49,1.7515,59.2
20.977,1010.9,87.627,3.972,25.21,1089.3,549.79,12.037,133.44,1.2991,62.087
28.656,1008.9,74.72,4.7176,30.868,1099.9,544.66,13.215,146.31,1.7358,49.754
14.635,1006.6,71.408,4.1357,32.009,1100.1,532.13,13.784,158.13,1.3001,74.808
8.8188,1025.2,83.917,4.5957,34.028,1100.0,531.85,14.214,164.85,0.83128,77.889
23.6,1014.4,43.116,5.9244,31.335,1099.6,536.09,13.515,154.45,0.60278,64.424
12.892,1012.4,79.715,3.1078,23.393,1080.2,549.93,11.598,129.39,3.6649,82.32
21.886,1015.2,89.045,3.4947,19.676,1057.2,549.98,10.539,109.6,3.8599,48.945
14.95,1026.8,69.981,4.5693,24.324,1085.6,550.15,11.866,132.37,1.238,76.596
15.984,999.28,81.387,3.9291,19.657,1055.1,549.95,10.286,110.64,3.2267,68.173
10.11,1014.3,65.69,5.7397,32.454,1100.2,530.6,13.986,160.23,0.49435,67.163
9.8075,1014.4,93.631,3.5748,24.834,1076.0,550.06,11.86,133.44,1.0343,61.852
28.51,1012.4,50.699,4.4464,25.04,1087.9,549.89,11.975,129.2,1.7563,62.279
6.7981,1021.1,70.023,5.0905,33.14,1099.7,526.2,14.07,165.79,0.48936,66.315
8.6511,1021.0,78.07,3.5917,26.458,1077.3,540.63,12.433,139.26,3.2893,58.069
9.2827,1016.1,74.355,2.5902,20.043,1043.5,548.66,10.217,108.6,6.0733,79.979
30.061,1008.4,45.882,4.8459,30.712,1099.9,544.96,13.177,148.45,1.3915,59.519
13.577,1011.8,78.297,2.9486,25.922,1088.5,549.71,12.401,140.5,1.1692,64.096
7.757,1006.4,93.41,4.1479,23.628,1083.3,550.17,11.676,133.7,1.6875,79.718
25.204,1012.9,65.961,4.8983,30.292,1099.9,537.18,13.411,150.63,0.18493,62.219
18.331,1012.3,97.514,5.5273,23.926,1081.2,550.03,11.725,128.24,2.1757,68.769
17.493,1016.9,93.388,4.07,31.358,1099.9,536.45,13.527,152.56,1.1351,72.635
6.0684,1025.3,88.106,4.3658,23.888,1084.9,549.28,11.836,133.6,2.1379,86.108
9.063,1019.7,84.23,5.2306,33.108,1100.2,526.78,14.194,164.06,0.2435,60.948
8.8629,1023.3,75.879,5.316,32.807,1100.3,527.78,14.089,162.54,0.96628,66.444
17.945,1019.4,56.301,3.5923,32.088,1088.0,549.81,12.337,137.56,3.0953,63.146
13.944,998.2,95.263,3.7962,26.24,1082.1,550.04,12.023,137.93,0.87061,67.318
9.2684,1028.1,82.695,3.413,24.422,1077.4,550.05,11.936,134.43,4.0018,67.092
25.414,1010.4,70.683,4.0473,25.546,1090.2,550.18,12.184,132.62,1.3555,64.664
20.49,1011.4,84.968,2.8712,19.463,1054.6,550.06,10.444,107.95,3.9381,51.995
6.0301,1026.5,82.78,2.7655,23.181,1082.4,550.02,11.69,133.09,2.2043,80.947
13.726,1011.8,49.65,5.6306,31.583,1099.7,532.76,13.771,157.44,0.41736,48.766
26.891,1006.4,74.502,4.1444,28.794,1098.2,548.49,12.937,143.88,1.4746,53.051
30.341,1008.7,61.463,3.522,20.545,1060.0,550.08,10.708,109.81,5.1334,54.058
28.124,1010.2,83.935,4.2395,26.137,1093.3,549.96,12.372,134.28,1.171,55.782
14.678,1011.9,95.065,6.2525,31.884,1099.9,533.83,13.65,155.11,1.5285,62.062
15.143,1006.6,82.909,2.6441,19.249,1053.9,550.04,10.38,109.26,5.2596,67.221
22.692,1011.9,87.6,3.8856,23.268,1068.7,550.18,11.428,121.95,2.2319,51.762
18.589,1016.3,72.485,4.2426,30.582,1100.1,541.54,13.458,151.94,1.534,52.578
32.621,1006.5,52.589,4.386,26.859,1096.6,549.79,12.32,133.82,0.85915,63.889
24.158,1013.3,67.509,4.5397,29.648,1096.4,543.13,13.186,147.1,1.6551,55.73
17.905,1011.1,75.62,4.5528,23.352,1078.2,550.17,11.43,126.8,1.3654,67.588
25.914,1012.8,59.101,4.2229,30.313,1099.9,543.89,13.281,147.9,1.5865,56.575
12.488,1007.2,94.528,2.5733,19.171,1054.4,549.78,10.399,110.57,6.5241,78.564
10.025,1020.4,97.672,4.2061,32.71,1098.7,530.48,13.797,157.97,0.99619,72.091
28.405,1007.5,59.299,4.7393,31.077,1099.9,543.47,13.33,150.09,1.6859,55.919
22.377,1008.1,87.725,3.4379,20.179,1059.8,550.25,10.609,111.8,3.8335,50.749
28.79,1008.3,37.222,4.2081,29.384,1099.8,546.73,13.065,145.82,2.1398,64.812
29.758,1014.2,60.34,3.2753,20.754,1063.3,549.94,10.79,111.81,2.0748,51.01
27.664,1012.1,54.098,4.0595,25.862,1093.7,550.02,12.27,133.81,0.79998,64.058
21.674,1007.9,63.481,2.7315,19.646,1048.4,549.8,10.435,108.65,4.6919,52.634
21.797,1010.4,80.705,4.1946,25.704,1090.8,550.18,12.12,134.63,4.8371,70.421
19.484,1016.0,86.562,3.2218,25.251,1087.7,550.03,12.027,132.84,1.165,58.232
20.96,1009.6,95.665,3.8673,24.426,1074.9,550.02,11.699,127.93,2.0983,50.812
25.256,1014.3,57.731,3.8693,27.86,1091.5,546.33,12.728,140.27,1.0832,52.358
20.798,1002.2,95.213,3.7862,25.056,1088.0,549.58,12.027,133.82,0.38602,61.054
20.736,1009.6,99.961,4.1621,22.842,1067.5,549.92,11.366,121.62,2.3855,51.054
14.31,1025.4,75.279,4.5888,24.797,1087.3,549.89,11.922,134.06,1.0557,76.474
20.928,1012.5,92.677,4.2264,26.792,1089.2,549.91,12.34,138.34,0.72074,47.279
17.958,1006.9,86.78,3.2192,24.059,1082.1,550.01,11.745,129.27,1.3563,62.248
10.685,1005.7,85.766,4.2463,32.353,1100.1,531.03,13.84,160.27,1.9382,64.66
23.058,1015.5,72.125,3.79,25.699,1083.1,550.19,12.116,133.36,1.6039,59.548
24.336,1011.4,69.826,3.445,20.436,1060.5,550.03,10.715,111.43,4.2048,55.931
11.179,1010.9,63.335,2.5175,18.967,1053.2,549.46,10.423,109.99,6.263,93.815
25.289,1010.6,85.495,4.1116,26.369,1095.3,549.95,12.426,135.26,0.28095,62.039
19.811,1014.9,76.594,4.1482,19.813,1057.8,549.98,10.59,110.23,4.2739,58.419
25.899,1008.9,61.547,3.7375,25.421,1083.2,549.83,12.126,132.31,1.8004,56.861
26.432,1012.1,68.432,3.7687,20.487,1060.4,549.99,10.664,110.44,3.3737,51.324
29.966,1008.2,41.911,4.3929,30.417,1100.0,544.3,13.235,149.13,1.1301,50.448
16.922,1023.3,84.118,3.0335,18.922,1048.2,549.92,10.482,108.65,4.4859,53.406
10.839,1023.6,87.095,5.4138,32.536,1100.0,528.92,13.955,161.06,0.22635,60.38
26.729,1012.7,70.757,4.0697,23.97,1072.9,549.95,11.654,123.13,2.1594,50.535
21.948,1001.9,80.3,3.7317,25.531,1089.5,550.06,12.116,133.77,2.0048,72.038
23.1,1014.4,67.608,4.2512,25.754,1091.9,549.73,12.123,134.66,1.9969,69.095
23.63,1009.4,92.806,4.4193,25.866,1091.8,550.4,12.165,134.77,1.731,60.406
2.859,1022.6,80.372,4.5925,33.85,1100.0,528.66,14.345,167.63,2.2589,49.057
26.401,1012.0,53.649,4.3308,25.628,1091.7,549.76,12.083,133.07,1.7598,68.505
26.802,1008.1,65.353,4.6392,30.828,1100.0,543.78,13.301,149.45,1.3272,58.208
9.3561,1023.2,90.172,2.4057,19.416,1049.9,544.71,10.514,111.63,7.6193,89.117
23.185,1003.4,56.757,4.2322,27.658,1090.8,548.13,12.583,140.5,1.4248,67.748
20.773,1015.0,89.214,3.6782,24.936,1088.8,549.82,12.089,133.63,0.71038,59.067
7.9416,1013.7,82.224,4.1879,34.253,1100.0,524.46,14.272,166.39,1.3765,67.705
17.676,1021.3,85.233,4.7647,30.803,1099.9,534.93,13.556,151.89,1.6965,64.129
5.2767,1033.2,79.499,3.2184,23.118,1075.0,549.93,11.673,131.38,3.5546,70.501
18.043,1003.1,90.954,3.3638,23.699,1074.0,549.62,11.585,127.92,1.8405,47.358
2.3309,1015.5,80.897,3.8139,20.305,1036.1,533.38,10.699,112.91,9.7298,118.63
19.878,1009.9,81.07,3.8216,24.9,1087.7,550.06,11.927,133.36,1.8989,64.574
19.714,1016.2,78.721,2.8407,19.802,1051.0,550.03,10.5,110.32,4.4893,51.153
11.45,1008.1,90.484,2.6297,19.578,1053.2,548.48,10.391,110.87,6.1399,76.352
24.681,1006.8,74.906,4.2705,29.376,1099.6,547.06,13.093,146.75,1.5517,57.879
21.071,1003.2,83.819,3.9239,26.398,1086.9,549.71,12.145,137.88,1.3772,60.996
23.85,1018.6,69.789,3.7383,25.768,1093.1,549.75,12.304,134.11,1.1277,68.624
10.224,1012.9,88.142,2.9556,23.725,1083.1,549.93,11.72,132.64,1.713,75.22
29.391,1004.8,62.87,4.1894,25.817,1081.8,549.87,12.021,129.19,1.6081,57.529
16.364,1012.5,94.184,3.8349,24.646,1087.2,549.99,11.991,133.93,1.7216,66.172
27.279,1007.4,59.944,4.7496,25.58,1090.4,550.02,12.152,131.55,1.544,66.501
14.332,1011.0,89.517,3.6937,25.053,1080.4,549.93,12.0,134.71,1.6019,66.682
23.84,1015.5,69.694,4.7185,30.231,1100.1,545.2,13.194,149.63,0.93421,54.574
13.878,1021.4,92.61,5.5546,32.033,1100.0,531.48,13.829,156.7,1.3885,77.394
10.503,1001.7,99.888,2.5965,19.329,1041.4,541.65,10.378,108.54,10.992,96.148
22.725,1008.5,92.687,4.8121,31.066,1100.0,543.08,13.31,150.3,2.692,54.892
25.716,1011.9,54.398,3.8812,25.738,1092.6,549.84,12.162,135.14,0.79846,67.96
30.431,1004.4,67.024,4.3597,26.047,1082.4,549.97,12.103,128.98,1.7781,52.4
5.9961,1020.0,90.837,3.494,24.445,1075.6,549.92,11.862,134.27,1.3053,65.165
24.496,1011.8,93.924,4.2055,21.098,1064.9,549.97,10.892,114.13,3.5776,47.275
10.907,1008.2,90.614,3.6021,24.381,1076.9,549.94,11.814,133.45,1.8147,69.083
26.302,1017.1,57.315,3.8475,25.726,1092.7,549.61,12.318,133.82,1.3996,70.213
14.896,1015.5,80.356,2.4138,19.404,1054.7,549.74,10.435,109.68,5.2385,75.115
11.595,1018.3,97.111,3.2272,24.735,1086.6,549.97,11.866,134.47,1.1942,62.403
13.331,1012.9,75.861,2.6103,23.923,1047.1,550.16,10.415,109.89,5.4163,69.704
28.857,1003.6,70.975,4.0742,25.472,1088.4,550.13,11.975,131.06,1.3857,60.264
26.358,1006.7,89.244,5.0937,29.643,1099.6,547.8,13.018,144.3,1.4732,53.574
24.128,1011.5,90.701,3.9561,20.444,1060.0,549.92,10.727,110.83,4.6149,49.21
19.161,1018.8,79.557,3.9608,21.523,1060.9,550.04,10.972,116.42,3.5098,58.434
11.739,1015.3,66.679,3.0368,21.999,1066.5,549.95,11.349,124.35,3.3743,64.653
7.2752,1008.2,86.306,4.0752,23.698,1083.6,549.96,11.844,134.01,1.6733,80.623
